"chinese","pinyin","type","english"
"初","chū","n","beginning"
"航空","hángkōng","n","aviation"
"查","chá","v","to check, to look into"
"航班","hángbān","n","scheduled flight"
"打折","dǎ zhé","vo","to sell at a discount"
"靠","kào","v","to lean against, to be next to"
"窗户","chuānghu","n","window"
"份","fèn","m","(measure word for meal orders, jobs)"
"旅馆","lǚguǎn","n","hotel"
