"chinese","pinyin","type","english"
"干净","gānjìng","adj","clean" 
"沙发","shāfā","n","sofa" 
"椅子","yǐzi","n","chair" 
"安静","ānjìng","adj","quiet" 
"房租","fángzū","n","rent" 
"美元","měiyuán","n","U.S. dollar" 
"差不多","chàbuduō","adj/adv","roughly, almost" 
"当","dāng","v","to serve as, to be" 
"还","huán","v","to return (something)" 
"另外","lìngwài","conj/adj","furthermore, addition" 
"养","yǎng","v","to raise"
