"chinese","pinyin","type","english"
"叔叔","shūshu","n","uncle"
"阿姨","āyí","n","aunt"
"欢迎","huānyíng","v","to welcome"
"瘦","shòu","adj","thin, lean"
"爷爷","yéye","n","paternal grandfather"
"奶奶","nǎinai","n","paternal grandmother"
"烤鸭","kǎoyá","n","roast duck"
