"chinese","pinyin","type","english"
"听说","tīngshuō","v","to be told, to hear of"
"运动","yùndòng","n/v","sports, exercise"
"旁边","pángbiān","n","side, next to"
"远","yuǎn","adj","far"
"离","lí","prep","away from"
"近","jìn","adj","near"
"活动","huódòng","n","activity"
"中间","zhōngjiān","n","middle"
"地方","dìfang","n","place"
"里边","lǐbian","n","inside"
