"chinese","pinyin","type","english"
"记得","jìde","v","to remember" 
"想起来","xiǎng qi lai","vc","to recall" 
"号码","hàomǎ","n","number" 
"搬","bān","v","to move" 
"打扫","dǎsǎo","v","to clean up" 
"整理","zhěnglǐ","v","to put in order, to tidy up" 
"房间","fángjiān","n","room" 
"旅行","lǚxíng","v/n","to travel; travel" 
"电","diàn","n","electricity"
