"chinese","pinyin","type","english"
"位子","wèizi","n","seat"
"好吃极了","hǎochī jíle","adj+structure","delicious/tasty to the extreme"
"鱼","yú","n","fish"
"米饭","mǐfàn","n","cooked rice"
"忘带","wàng dài","v","to forget to bring"
"清楚","qīngchu","adj","clear"
"没关系","méi guānxi","phrase","it doesn't matter, no problem"
