"chinese","pinyin","type","english"
"同","tóng","adj","same, alike" 
"印象","yìnxiàng","n","impression" 
"成","chéng","v","to become" 
"演","yǎn","v","to show (a film), to perform" 
"费力","fèilì","vo","to take effort" 
"力气","lìqi","n","strength, effort" 
"就","jiù","adv","just, only (indicating a small number)" 
"俩","liǎ","nu+m","two (colloquial)" 
"后天","hòutiān","t","the day after tomorrow" 
"一言为定","yì yán wéi dìng","phrase","that's settled; it's a deal"
