"chinese","pinyin","type","english"
"马上","mǎshàng","adv","immediately, right away"
"放假","fàng jià","vo","to go on vacation, have time off"
"公司","gōngsī","n","company"
"实习","shíxí","v/n","to intern; internship"
"计划","jìhuà","n/v","plan; to plan"
"打算","dǎsuàn","v/n","to plan; plan"
"父母","fùmǔ","n","parents"
"文化","wénhuà","n","culture"
"有名","yǒumíng","adj","famous"
"护照","hùzhào","n","passport"
"名胜古迹","míngshèng gǔjì","n","famous scenic spots and historic sites"
