"chinese","pinyin","type","english"
"饭馆(儿)","fànguǎnr","n","restaurant"
"好像","hǎoxiàng","v/adv","to seem, to be like"
"桌子","zhuōzi","n","table"
"盘","pán","m/n","plate, dish"
"放","fàng","v","to put, to place"
"肉","ròu","n","meat"
"完","wán","v","to finish, complete"
"青菜","qīngcài","n","green leafy vegetable"
"渴","kě","adj","thirsty"
"一些","yìxiē","m","some, a few"
"够","gòu","adj","enough"
"饿","è","adj","hungry"
