"chinese","pinyin","type","english"
"天气","tiānqì","n","weather"
"比","bǐ","prep/v","compare"
"约","yuē","v","to make an appointment"
"滑冰","huá bīng","vo","to ice skate"
"刚才","gāngcái","t","just now; a moment ago"
"预报","yùbào","n/v","forecast"
"更","gèng","adv","even more"
"不但","búdàn","conj","not only"
"而且","érqiě","conj","but also"
"冷","lěng","adj","cold"
