"chinese","pinyin","type","english"
"那么","nàme","adv","so, such"
"好玩儿","hǎowánr","adj","fun, amusing"
"非常","fēicháng","adv","very, extremely"
"糟糕","zāogāo","adj","terrible, what a mess"
"又","yòu","adv","again"
"面试","miànshì","v/n","to interview, interview"
"回去","huí qù","vc","to go back, to return"
"冬天","dōngtiān","n","winter"
"热","rè","adj","hot"
"舒服","shūfu","adj","comfortable"
