"chinese","pinyin","type","english"
"吵","chǎo","adj/v","noisy; to quarrel" 
"连","lián","prep","even" 
"报纸","bàozhǐ","n","newspaper" 
"附近","fùjìn","n","vicinity, neighborhood" 
"套","tào","m","(measure word for suite or set)" 
"公寓","gōngyù","n","apartment" 
"走路","zǒu lù","vo","to walk" 
"分钟","fēnzhōng","n","minute" 
"客厅","kètīng","n","living room"
