"chinese","pinyin","type","english"
"以为","yǐwéi","v","to assume erroneously"
"聪明","cōngming","adj","smart, clever"
"用功","yònggōng","adj","hardworking, studious"
"长","zhǎng","v","to grow, to appear"
"去年","qùnián","t","last year"
"脸","liǎn","n","face"
"眼睛","yǎnjing","n","eye"
"像","xiàng","v","to be like, to resemble"
"它","tā","pr","it"
"一定","yídìng","adv/adj","certainly, definitely"
"最","zuì","adv","most, (superlative)"
