"chinese","pinyin","type","english"
"地图","dìtú","n","map"
"拿","ná","v","to take, to get"
"次","cì","m","measure word for frequency"
"从","cóng","prep","from"
"一直","yìzhí","adv","straight, continuously"
"往","wǎng","prep","towards"
"路口","lùkǒu","n","intersection"
"东边","dōngbian","n","east side"
"左右","zuǒyòu","n","around, approximately"
"前面","qiánmiàn","n","front"
