"chinese","pinyin","type","english"
"表姐","biǎojiě","n","older female cousin (maternal)"
"送","sòng","v","to give as a gift, to see off"
"饮料","yǐnliào","n","beverage"
"水果","shuǐguǒ","n","fruit"
"把","bǎ","m/prep","measure word for bunches/chairs, (particle for object disposal)"
"爱","ài","v","to love"
"住","zhù","v","to live (in a place)"
"重","zhòng","adj","heavy, serious"
"接","jiē","v","to pick up, to receive"
"楼","lóu","n","building, floor"
