"chinese","pinyin","type","english"
"行李","xíngli","n","luggage"
"托运","tuōyùn","v","to check (luggage)"
"包","bāo","n","bag, sack"
"箱子","xiāngzi","n","suitcase, box"
"超重","chāozhòng","v","to be overweight (luggage)"
"登机","dēng jī","vo","to board a plane"
"哭","kū","v","to cry"
"照顾","zhàogù","v","to look after, to care for"
"起飞","qǐfēi","v","(of airplanes) to take off"
"小心","xiǎoxīn","v/adj","to be careful"
"一路平安","yí lù píng ān","phrase","have a safe trip"
