"chinese","pinyin","type","english"
"当然","dāngrán","adv","of course"
"胖","pàng","adj","fat"
"怕","pà","v","to fear, to be afraid of"
"简单","jiǎndān","adj","simple"
"跑步","pǎo bù","vo","to run, jog"
"难受","nánshòu","adj","hard to bear, uncomfortable"
"游泳","yóu yǒng","v/n","to swim; swimming"
"危险","wēixiǎn","adj","dangerous"
"愿意","yuànyì","v","to be willing"
