"chinese","pinyin","type","english"
"上大学","shàng dàxué","vo","to attend college"
"为了","wèile","prep","for the sake of"
"提高","tígāo","v","to improve, to raise"
"水平","shuǐpíng","n","level, standard"
"比赛","bǐsài","n/v","game, match; to compete"
"国际","guójì","adj","international"
"手","shǒu","n","hand"
"抱","bào","v","to hold or carry in the arms"
"被","bèi","prep","(particle for passive voice)"
"担心","dānxīn","vo","to worry"
"半天","bàntiān","t","half a day, a long time"
